t0,t1,source,label
1.243553008595988,1.60458452722063,Initial,risa
16.790000000000003,18.283,Added,risa
20.430000000000003,21.924,Added,risa
25.475644699140403,26.157593123209168,Initial,risa
29.19,33.747,Added,no_risa
36.98567335243553,38.9512893982808,Initial,risa
40.91,42.36,Added,no_risa
50.26074498567336,50.84240687679083,Initial,risa
64.77000000000001,65.953,Added,no_risa
70.27000000000001,71.521,Added,risa
83.06876790830945,83.32951289398281,Initial,risa
103.95,104.787,Added,no_risa
109.65,111.05,Added,no_risa
114.97,116.272,Added,risa
117.73,118.813,Added,no_risa
120.43,121.374,Added,risa
123.33,125.936,Added,risa
128.11,128.737,Added,no_risa
133.95,134.78,Added,no_risa
136.29,137.082,Added,no_risa
138.67,142.48600000000002,Added,risa
153.11,154.77700000000002,Added,risa
168.189111747851,168.77077363896848,Initial,risa
171.79,174.898,Added,risa
177.11,181.18,Added,risa
182.99,184.341,Added,risa
190.33,192.496,Added,risa
199.23,201.538,Added,no_risa
203.19,204.399,Added,no_risa
206.99,207.98,Added,no_risa
209.05,212.641,Added,risa
213.99,215.461,Added,risa
225.0601719197708,225.54154727793696,Initial,risa
229.29,230.139,Added,risa
233.31,234.48,Added,risa
237.39,238.461,Added,no_risa
252.95,256.294,Added,risa
256.93,257.775,Added,no_risa
258.43,259.176,Added,no_risa
260.99,262.53799999999995,Added,risa
263.87,264.859,Added,risa
274.13,276.045,Added,risa
288.97,290.17999999999995,Added,no_risa
292.19,294.403,Added,risa
300.43,302.049,Added,no_risa
310.79,311.897,Added,risa
322.85,324.064,Added,no_risa
324.99,325.644,Added,no_risa
326.71,329.066,Added,risa
330.13,331.268,Added,risa
332.03,332.828,Added,risa
333.77,335.57,Added,risa
348.21,350.959,Added,risa
355.75,356.82,Added,risa
362.61,363.341,Added,no_risa
369.55,370.282,Added,no_risa
371.75,372.563,Added,no_risa
380.05,383.307,Added,risa
385.97,386.849,Added,risa
393.95,395.894,Added,risa
397.33,398.255,Added,no_risa
399.29,400.917,Added,no_risa
409.35,410.184,Added,no_risa
411.77,413.246,Added,no_risa
415.43,417.188,Added,risa
419.71,421.55,Added,risa
422.07,423.17,Added,risa
423.81,427.333,Added,risa
437.69,438.373,Added,no_risa
440.93,441.994,Added,no_risa
448.61,452.278,Added,risa
453.29,454.238,Added,no_risa
455.89,456.799,Added,no_risa
458.25,459.36,Added,no_risa
480.0200573065903,480.5816618911175,Initial,risa
