t0,t1,source,label
7.607449856733524,10.11461318051576,Initial,risa
19.512893982808023,20.842406876790832,Initial,risa
36.43839541547278,37.166189111747855,Initial,risa
39.45272206303725,41.97994269340974,Initial,risa
49.53295128939829,50.13467048710602,Initial,risa
53.53008595988538,57.34670487106017,Initial,risa
60.0,62.2865329512894,Initial,risa
70.22063037249283,71.81948424068769,Initial,risa
85.78223495702005,87.38681948424069,Initial,risa
96.54441260744986,101.97994269340974,Initial,risa
113.6704871060172,115.43553008595988,Initial,risa
120.93696275071632,122.96848137535817,Initial,risa
128.77077363896848,131.35816618911176,Initial,risa
142.76790830945558,144.79369627507162,Initial,risa
153.77077363896848,154.61318051575932,Initial,risa
161.54441260744986,164.23209169054442,Initial,risa
170.054441260745,171.39828080229228,Initial,risa
172.6676217765043,173.63037249283667,Initial,risa
182.3065902578797,183.14899713467048,Initial,risa
195.676217765043,195.97707736389685,Initial,risa
201.4383954154728,202.4670487106017,Initial,risa
221.06303724928367,222.8080229226361,Initial,risa
228.730659025788,231.57879656160455,Initial,risa
233.24928366762177,234.7936962750716,Initial,risa
237.34670487106015,239.2922636103152,Initial,risa
240.73638968481376,242.06590257879657,Initial,risa
243.10888252149,244.6332378223496,Initial,risa
245.3352435530086,245.59598853868195,Initial,risa
246.25787965616047,246.81948424068767,Initial,risa
251.323782234957,253.83094555873924,Initial,risa
257.2865329512894,259.5730659025788,Initial,risa
270.8567335243553,272.8080229226361,Initial,risa
274.4727793696275,274.6934097421204,Initial,risa
274.89398280802294,275.67621776504296,Initial,risa
277.025787965616,278.7707736389685,Initial,risa
286.865329512894,287.70773638968484,Initial,risa
296.9255014326648,303.34957020057305,Initial,risa
304.1719197707736,306.6647564469914,Initial,risa
307.6074498567335,308.2893982808023,Initial,risa
309.1518624641834,310.9971346704871,Initial,risa
313.4097421203438,316.378223495702,Initial,risa
321.8051575931232,323.5300859598854,Initial,risa
329.3323782234957,331.9799426934097,Initial,risa
