t0,t1,source,label
9.19,9.501,Added,no_risa
11.21,13.064,Added,no_risa
18.36962750716332,19.131805157593124,Initial,risa
26.659025787965614,26.98567335243553,Initial,risa
28.36962750716332,28.830945558739256,Initial,risa
35.35,35.782,Added,no_risa
42.43,43.421,Added,risa
66.86532951289398,67.84813753581662,Initial,risa
68.30945558739255,68.93123209169055,Initial,risa
78.81,80.671,Added,risa
88.38968481375358,88.59025787965616,Initial,risa
88.71000000000001,91.916,Added,risa
114.35,116.626,Added,risa
118.21,121.329,Added,risa
136.51,137.963,Added,risa
140.35530085959886,141.0573065902579,Initial,risa
146.42999999999998,147.209,Added,no_risa
150.0,150.621776504298,Initial,risa
154.1919770773639,154.73352435530086,Initial,risa
163.14999999999998,164.003,Added,no_risa
176.58452722063038,177.96848137535818,Initial,risa
178.26934097421204,178.89111747851004,Initial,risa
186.03,186.897,Added,no_risa
187.23,187.998,Added,no_risa
188.99,189.86,Added,risa
197.87,199.847,Added,risa
210.0,210.8624641833811,Initial,risa
212.99,214.218,Added,no_risa
222.65,223.312,Added,risa
226.31,227.853,Added,risa
229.53,230.174,Added,no_risa
232.41,233.595,Added,risa
235.13,235.556,Added,no_risa
239.59,242.698,Added,risa
247.3266475644699,248.22922636103152,Initial,risa
257.53,258.42,Added,no_risa
262.15,262.90099999999995,Added,no_risa
264.31,267.642,Added,risa
269.41,270.682,Added,risa
271.53,272.763,Added,risa
275.75,278.884,Added,no_risa
283.5902578796562,284.1518624641834,Initial,risa
287.85,289.379,Added,risa
292.03,293.262,Added,risa
295.39,298.225,Added,risa
298.4297994269341,299.6131805157593,Initial,risa
301.85,305.731,Added,risa
313.23,314.167,Added,risa
315.31,316.309,Added,risa
317.29,318.45,Added,risa
323.79,325.095,Added,risa
327.09,328.558,Added,no_risa
329.33,329.959,Added,no_risa
332.36676217765046,332.6275071633238,Initial,risa
344.21,349.017,Added,risa
360.31,361.442,Added,risa
364.25214899713467,364.974212034384,Initial,risa
367.09,368.245,Added,risa
374.59312320916905,375.5358166189112,Initial,risa
381.15,382.313,Added,risa
385.67,387.834,Added,risa
389.59,390.674,Added,risa
411.44412607449857,411.6647564469914,Initial,risa
426.13,426.868,Added,no_risa
441.35,444.157,Added,risa
482.0859598853869,482.3467048710602,Initial,risa
490.25,491.612,Added,risa
505.5816618911175,505.9226361031519,Initial,risa
528.1690544412608,528.9312320916905,Initial,risa
