t0,t1,source,label
6.65,8.376000000000001,Added,no_risa
18.130000000000003,19.023,Added,risa
22.05,23.386,Added,risa
23.750716332378225,24.39255014326648,Initial,risa
34.77363896848138,35.51575931232092,Initial,risa
36.91,38.427,Added,risa
40.656160458452725,41.43839541547278,Initial,risa
53.10888252148997,53.40974212034384,Initial,risa
57.93,59.79,Added,risa
77.58739255014326,77.86819484240688,Initial,risa
79.55000000000001,81.587,Added,risa
84.91404011461319,85.27507163323783,Initial,risa
90.2406876790831,91.74498567335245,Initial,risa
94.21203438395416,94.79369627507164,Initial,risa
100.98280802292264,101.20343839541547,Initial,risa
103.63037249283668,104.45272206303724,Initial,risa
106.57,107.439,Added,risa
110.49570200573066,110.91690544412609,Initial,risa
120.21,121.129,Added,risa
139.04999999999998,139.942,Added,risa
143.07,144.185,Added,risa
148.20916905444125,148.93123209169053,Initial,risa
150.03,152.73000000000002,Added,risa
165.45,173.976,Added,no_risa
175.96275071633238,176.97994269340975,Initial,risa
195.03,196.982,Added,risa
217.61,219.905,Added,risa
220.2607449856733,220.8624641833811,Initial,risa
235.67,237.231,Added,risa
250.39,258.715,Added,no_risa
260.01,260.936,Added,no_risa
266.12320916905446,266.8595988538682,Initial,risa
271.53,273.199,Added,risa
273.99,275.02,Added,risa
294.9942693409742,295.25501432664754,Initial,risa
297.79,299.849,Added,risa
302.08595988538684,303.9914040114613,Initial,risa
311.79,314.77599999999995,Added,risa
316.2378223495702,316.9799426934097,Initial,risa
318.49,319.371,Added,risa
326.65,328.03799999999995,Added,risa
339.7936962750716,342.1661891117478,Initial,risa
342.58739255014325,343.36962750716333,Initial,risa
355.99,356.70399999999995,Added,risa
360.29,361.367,Added,risa
384.45,387.485,Added,risa
415.99,417.854,Added,risa
431.31,432.034,Added,risa
449.37,451.348,Added,risa
451.8452722063037,452.7478510028653,Initial,risa
454.9942693409742,456.323782234957,Initial,risa
456.51,459.368,Added,no_risa
466.83,468.277,Added,risa
474.77,477.726,Added,risa
