t0,t1,source,label
1.283667621776504,1.504297994269341,Initial,risa
14.97,16.189999999999998,Added,risa
17.290000000000003,18.071,Added,no_risa
26.790000000000003,27.834,Added,no_risa
35.41,36.436,Added,no_risa
40.0,40.82234957020057,Initial,risa
46.87,47.979,Added,no_risa
49.21,50.1,Added,risa
53.49,55.103,Added,risa
56.31,57.665,Added,risa
78.43,80.52000000000001,Added,risa
103.99140401146131,104.7134670487106,Initial,risa
106.49,107.175,Added,no_risa
123.19,124.08,Added,no_risa
125.17,125.942,Added,no_risa
126.39828080229226,126.93982808022923,Initial,risa
143.22922636103152,144.17191977077363,Initial,risa
146.04297994269342,146.68481375358166,Initial,risa
153.42999999999998,154.565,Added,no_risa
160.3352435530086,161.95988538681948,Initial,risa
166.85,168.39100000000002,Added,risa
179.01,179.903,Added,risa
181.97,182.784,Added,no_risa
195.03,196.168,Added,risa
201.07,201.631,Added,risa
203.14899713467048,203.34957020057303,Initial,risa
205.2406876790831,205.54154727793696,Initial,risa
212.67,214.079,Added,risa
214.67,215.6,Added,risa
220.49,222.345,Added,risa
228.21,228.994,Added,no_risa
230.99,232.978,Added,risa
235.55,236.982,Added,risa
249.2320916905444,249.9541547277937,Initial,risa
260.73,261.862,Added,no_risa
267.07,268.608,Added,risa
270.2750716332378,271.77936962750715,Initial,risa
273.36962750716333,273.7507163323782,Initial,risa
274.53,276.336,Added,risa
278.09,279.717,Added,risa
284.29,285.319,Added,no_risa
298.1690544412608,298.4498567335244,Initial,risa
306.03,306.95,Added,risa
325.41,326.102,Added,no_risa
329.6934097421204,330.0945558739255,Initial,risa
334.13180515759313,334.55300859598856,Initial,risa
335.0,335.2808022922636,Initial,risa
341.11747851002866,341.91977077363896,Initial,risa
346.07,348.088,Added,no_risa
362.025787965616,362.7478510028653,Initial,risa
392.10601719197706,392.3467048710602,Initial,risa
401.57,403.641,Added,no_risa
411.29,411.997,Added,risa
422.1661891117478,422.7277936962751,Initial,risa
425.0,425.4212034383954,Initial,risa
431.45,432.366,Added,no_risa
436.21,437.49,Added,risa
439.47,440.673,Added,no_risa
