t0,t1,source,label
15.07,18.44,Added,no_risa
19.17,19.942,Added,no_risa
47.79,49.108,Added,risa
58.63037249283668,60.57593123209169,Initial,risa
63.25,64.543,Added,risa
75.32091690544412,75.73638968481376,Initial,risa
86.93,87.848,Added,risa
90.55,91.529,Added,risa
100.17,101.053,Added,risa
105.79,106.615,Added,risa
111.81,112.613,Added,no_risa
145.02005730659025,145.3810888252149,Initial,risa
146.3839541547278,146.58452722063038,Initial,risa
146.69,147.499,Added,risa
173.01,175.115,Added,risa
178.83094555873924,179.69340974212034,Initial,risa
180.2550143266476,181.67908309455584,Initial,risa
188.21,189.104,Added,risa
210.20057306590255,211.12320916905443,Initial,risa
216.63896848137537,217.2464183381089,Initial,risa
238.29,239.277,Added,risa
285.2808022922636,286.5186246418338,Initial,risa
305.54154727793696,305.8968481375358,Initial,risa
312.2865329512894,312.86819484240687,Initial,risa
314.0716332378224,314.7736389684813,Initial,risa
348.8510028653295,349.352435530086,Initial,risa
