t0,t1,source,label
6.75,7.454000000000001,Added,no_risa
8.19,8.995000000000001,Added,no_risa
47.75,48.41,Added,no_risa
49.873925501432666,51.15759312320917,Initial,risa
55.78223495702006,56.12320916905444,Initial,risa
57.33,58.954,Added,risa
63.77,64.57700000000001,Added,no_risa
75.0945558739255,75.57593123209169,Initial,risa
78.01,79.95400000000001,Added,risa
82.01,82.896,Added,no_risa
84.29,85.218,Added,no_risa
86.62464183381088,87.62750716332378,Initial,risa
98.65,99.955,Added,no_risa
100.99,102.316,Added,no_risa
104.55,105.437,Added,no_risa
107.26647564469914,108.4297994269341,Initial,risa
112.91,113.601,Added,no_risa
119.81,120.715,Added,no_risa
122.07,122.755,Added,no_risa
125.31,126.156,Added,no_risa
127.81,128.717,Added,risa
131.78510028653295,135.8567335243553,Initial,risa
143.0487106017192,143.87106017191977,Initial,risa
151.39,152.267,Added,no_risa
154.73352435530086,155.71633237822348,Initial,risa
163.47,165.229,Added,risa
200.13,201.927,Added,risa
207.02578796561605,207.567335243553,Initial,risa
259.3724928366762,260.4355300859599,Initial,risa
275.39,277.423,Added,risa
279.8538681948424,280.07449856733524,Initial,risa
292.95,294.033,Added,risa
295.55,296.494,Added,risa
303.06876790830944,304.27220630372494,Initial,risa
308.1690544412608,310.03438395415475,Initial,risa
314.1719197707736,315.0143266475645,Initial,risa
315.45558739255017,315.7163323782235,Initial,risa
325.15,326.606,Added,risa
328.09,329.468,Added,risa
336.8051575931232,337.7679083094556,Initial,risa
352.8280802292264,353.18911174785103,Initial,risa
