t0,t1,source,label
9.7134670487106,11.257879656160458,Initial,risa
21.744985673352435,23.349570200573066,Initial,risa
24.492836676217763,25.41547277936963,Initial,risa
30.3810888252149,33.53008595988538,Initial,risa
44.412607449856736,45.836676217765046,Initial,risa
46.69914040114613,47.70773638968481,Initial,risa
55.50143266475645,56.12320916905444,Initial,risa
57.40687679083094,58.911174785100286,Initial,risa
74.79369627507164,76.53868194842407,Initial,risa
78.75071633237822,79.99426934097421,Initial,risa
81.42406876790831,83.79083094555874,Initial,risa
100.0945558739255,101.89971346704873,Initial,risa
103.3295128939828,107.72779369627509,Initial,risa
120.21489971346703,121.56446991404012,Initial,risa
128.189111747851,130.63610315186247,Initial,risa
131.11747851002866,133.5702005730659,Initial,risa
139.6733524355301,140.4355300859599,Initial,risa
149.53295128939828,154.0515759312321,Initial,risa
160.0,161.82521489971347,Initial,risa
162.6676217765043,163.14899713467048,Initial,risa
163.69054441260744,165.39541547277938,Initial,risa
166.68481375358166,168.5702005730659,Initial,risa
178.10888252148996,181.53868194842408,Initial,risa
192.78796561604585,195.4355300859599,Initial,risa
202.1060171919771,203.46991404011465,Initial,risa
207.60744985673352,208.93123209169053,Initial,risa
210.7621776504298,213.5702005730659,Initial,risa
235.31518624641836,236.97994269340973,Initial,risa
242.1862464183381,242.64756446991404,Initial,risa
249.03151862464185,251.0830945558739,Initial,risa
267.5272206303725,267.86819484240687,Initial,risa
280.65616045845275,281.6189111747851,Initial,risa
285.2005730659026,287.06590257879657,Initial,risa
293.8710601719198,295.3352435530086,Initial,risa
305.0601719197708,305.5816618911175,Initial,risa
