t0,t1,source,label
9.73352435530086,10.475644699140402,Initial,risa
19.81375358166189,20.75644699140401,Initial,risa
51.68481375358167,52.306590257879655,Initial,risa
55.56160458452722,56.9054441260745,Initial,risa
60.51,62.762,Added,no_risa
70.03438395415473,70.7163323782235,Initial,risa
84.41260744985674,85.27507163323783,Initial,risa
110.49570200573066,110.7163323782235,Initial,risa
126.92550143266476,128.14899713467048,Initial,risa
137.40687679083095,137.78796561604585,Initial,risa
176.41833810888252,176.91977077363896,Initial,risa
