t0,t1,source,label
8.29,8.991,Added,no_risa
16.558739255014327,16.979942693409743,Initial,risa
18.51,20.073,Added,risa
24.83,27.774,Added,risa
35.03,37.931,Added,no_risa
38.57,40.992,Added,no_risa
42.59,43.332,Added,no_risa
44.05,44.953,Added,no_risa
46.58452722063037,48.911174785100286,Initial,risa
51.117478510028654,52.587392550143264,Initial,risa
54.47277936962751,55.01432664756448,Initial,risa
68.65042979942693,69.03151862464183,Initial,risa
70.19484240687679,70.80229226361031,Initial,risa
88.37,91.96,Added,risa
101.63,102.387,Added,no_risa
105.9971346704871,107.1461318051576,Initial,risa
110.15472779369628,110.8968481375358,Initial,risa
119.05,119.876,Added,no_risa
126.5186246418338,126.87965616045844,Initial,risa
131.09,132.604,Added,risa
137.88825214899714,139.07163323782234,Initial,risa
163.57,166.399,Added,risa
168.53,169.561,Added,risa
173.20916905444125,176.29799426934096,Initial,risa
183.93,185.106,Added,risa
187.89,188.848,Added,risa
190.63,191.969,Added,risa
197.7679083094556,198.0487106017192,Initial,risa
198.99,199.733,Added,risa
200.25,203.334,Added,risa
214.27220630372491,215.07449856733524,Initial,risa
218.79083094555875,219.15186246418335,Initial,risa
220.8624641833811,222.16618911174783,Initial,risa
228.45,229.376,Added,no_risa
229.79,230.956,Added,no_risa
233.77,234.878,Added,risa
236.79,237.439,Added,no_risa
255.45,256.465,Added,risa
