t0,t1,source,label
23.33,24.296,Added,no_risa
27.35,28.257,Added,no_risa
28.770000000000003,29.398,Added,no_risa
43.11,44.249,Added,risa
46.13,46.81,Added,risa
50.55,51.331,Added,risa
56.69,57.593,Added,no_risa
63.31,64.25500000000001,Added,risa
67.60744985673352,68.44985673352436,Initial,risa
82.35000000000001,83.884,Added,risa
93.45,94.183,Added,no_risa
103.57,104.432,Added,no_risa
107.19,108.176,Added,risa
124.29,125.259,Added,no_risa
130.09,131.102,Added,no_risa
132.52722063037248,133.63037249283667,Initial,risa
142.29,142.856,Added,no_risa
148.99140401146133,149.8939828080229,Initial,risa
151.2378223495702,151.49856733524356,Initial,risa
156.53,157.463,Added,no_risa
158.42999999999998,161.82500000000002,Added,risa
166.5644699140401,168.5702005730659,Initial,risa
168.97134670487105,169.31232091690543,Initial,risa
170.63,171.638,Added,risa
172.52722063037248,174.87392550143267,Initial,risa
175.73638968481376,176.7593123209169,Initial,risa
187.57,188.393,Added,no_risa
189.67,190.434,Added,no_risa
205.15,207.78,Added,risa
210.80229226361035,211.41833810888247,Initial,risa
218.93,219.601,Added,risa
224.11,224.944,Added,no_risa
226.09,227.086,Added,no_risa
231.89,232.25,Added,no_risa
234.1919770773639,235.71633237822348,Initial,risa
240.35,241.113,Added,no_risa
242.57,243.675,Added,no_risa
245.4813753581662,245.8825214899713,Initial,risa
245.89,246.856,Added,risa
270.23,272.657,Added,risa
274.81,275.779,Added,no_risa
296.02292263610315,297.22636103151865,Initial,risa
303.27,304.673,Added,risa
306.4383954154728,306.9799426934097,Initial,risa
323.55014326647563,325.17478510028656,Initial,risa
329.0515759312321,330.25501432664754,Initial,risa
340.0,341.64469914040114,Initial,risa
350.1948424068768,351.63896848137534,Initial,risa
353.63037249283667,354.1919770773639,Initial,risa
395.37,397.862,Added,risa
