t0,t1,source,label
21.37,21.678,Added,no_risa
40.0,40.742120343839545,Initial,risa
49.59312320916906,51.98567335243553,Initial,risa
60.93696275071633,61.97994269340974,Initial,risa
65.40114613180516,66.92550143266476,Initial,risa
75.0945558739255,77.08595988538681,Initial,risa
106.63896848137536,107.7077363896848,Initial,risa
131.1375358166189,131.97994269340975,Initial,risa
138.02865329512895,140.4355300859599,Initial,risa
141.90544412607449,142.74785100286533,Initial,risa
166.36389684813753,167.74785100286533,Initial,risa
173.06876790830947,175.41547277936962,Initial,risa
178.53008595988538,179.31232091690543,Initial,risa
198.83094555873924,200.2550143266476,Initial,risa
250.3753581661891,251.73925501432663,Initial,risa
270.2951289398281,271.5787965616046,Initial,risa
301.68481375358164,303.06876790830944,Initial,risa
319.2922636103152,321.93982808022923,Initial,risa
323.730659025788,324.4727793696275,Initial,risa
351.50429799426934,357.0,Initial,risa
392.06590257879657,392.3467048710602,Initial,risa
418.3696275071633,420.0744985673352,Initial,risa
421.95,424.103,Added,no_risa
