t0,t1,source,label
17.810000000000002,18.662,Added,risa
28.09,29.034,Added,no_risa
45.49570200573066,45.836676217765046,Initial,risa
57.52722063037249,58.22922636103152,Initial,risa
59.19197707736389,59.51289398280802,Initial,risa
76.36389684813754,76.76504297994269,Initial,risa
77.63000000000001,79.432,Added,risa
81.1432664756447,81.63896848137536,Initial,risa
84.75,87.25800000000001,Added,risa
87.93,88.69900000000001,Added,no_risa
89.8538681948424,90.25501432664755,Initial,risa
90.55587392550144,91.73925501432664,Initial,risa
101.19770773638967,101.5787965616046,Initial,risa
106.44412607449856,107.02578796561605,Initial,risa
111.86532951289398,113.189111747851,Initial,risa
115.93696275071632,116.97994269340974,Initial,risa
119.51289398280802,119.8538681948424,Initial,risa
121.03724928366762,121.83954154727792,Initial,risa
133.11,133.93800000000002,Added,no_risa
136.40401146131805,136.865329512894,Initial,risa
137.68767908309457,138.22922636103152,Initial,risa
141.0830945558739,144.03151862464185,Initial,risa
151.28366762177652,151.69914040114614,Initial,risa
153.89111747851004,154.73352435530086,Initial,risa
157.92999999999998,159.88500000000002,Added,risa
161.03,161.686,Added,no_risa
164.9942693409742,165.41547277936962,Initial,risa
166.03724928366762,166.97994269340975,Initial,risa
169.1919770773639,169.7134670487106,Initial,risa
171.3839541547278,171.98567335243553,Initial,risa
173.20916905444125,173.810888252149,Initial,risa
175.64183381088824,177.60744985673352,Initial,risa
183.59,185.766,Added,risa
191.39,192.649,Added,risa
199.09,199.792,Added,risa
207.05,208.992,Added,risa
212.06590257879657,212.26647564469917,Initial,risa
213.87,215.657,Added,risa
224.0114613180516,224.59312320916905,Initial,risa
225.0,225.74212034383956,Initial,risa
226.945558739255,228.34957020057303,Initial,risa
236.27793696275072,236.55873925501436,Initial,risa
241.12320916905443,243.730659025788,Initial,risa
248.07,249.708,Added,no_risa
254.75,255.792,Added,risa
262.73,263.491,Added,risa
267.12607449856733,267.4670487106017,Initial,risa
268.05,269.956,Added,risa
273.17,276.661,Added,risa
280.29,281.284,Added,risa
282.7879656160458,286.31805157593124,Initial,risa
288.31,289.29,Added,risa
295.67,297.47,Added,risa
299.31232091690543,300.21489971346705,Initial,risa
301.88538681948427,302.3868194842407,Initial,risa
306.07,307.576,Added,risa
308.99,311.238,Added,risa
313.79083094555875,314.27220630372494,Initial,risa
331.37,337.35,Added,risa
345.19,346.074,Added,no_risa
352.89,353.323,Added,risa
357.025787965616,358.4297994269341,Initial,risa
360.55587392550143,361.4383954154728,Initial,risa
368.4498567335244,368.8510028653295,Initial,risa
370.1948424068768,371.45845272206304,Initial,risa
374.33,375.409,Added,risa
377.3266475644699,378.7106017191977,Initial,risa
381.27793696275074,381.7793696275072,Initial,risa
386.47,387.261,Added,risa
389.83,390.983,Added,risa
395.98280802292265,397.5873925501433,Initial,risa
411.79,412.929,Added,risa
430.35,431.715,Added,risa
440.41,441.166,Added,risa
443.0487106017192,444.8338108882522,Initial,risa
