t0,t1,source,label
6.137535816618912,7.948424068767908,Initial,risa
9.472779369627506,11.037249283667622,Initial,risa
15.621776504297994,16.1432664756447,Initial,risa
25.69627507163324,26.558739255014327,Initial,risa
29.733524355300855,30.87679083094556,Initial,risa
39.893982808022926,41.97994269340974,Initial,risa
49.15186246418338,50.43553008595988,Initial,risa
51.55873925501433,53.32951289398281,Initial,risa
58.891117478510026,60.29512893982808,Initial,risa
63.570200573065904,64.89398280802293,Initial,risa
72.1461318051576,73.34957020057307,Initial,risa
81.76504297994269,83.53008595988538,Initial,risa
85.63610315186247,87.36676217765043,Initial,risa
96.5243553008596,98.93123209169056,Initial,risa
102.64756446991404,104.45272206303724,Initial,risa
126.60458452722062,128.44985673352434,Initial,risa
129.83381088825217,131.59885386819485,Initial,risa
141.19770773638967,142.38681948424068,Initial,risa
153.9111747851003,154.77363896848138,Initial,risa
158.12893982808023,158.87106017191977,Initial,risa
161.16332378223495,161.97994269340975,Initial,risa
173.85100286532952,174.9942693409742,Initial,risa
177.68767908309457,180.01432664756447,Initial,risa
183.89111747851004,184.59312320916905,Initial,risa
186.78510028653292,187.487106017192,Initial,risa
189.9140401146132,190.35530085959888,Initial,risa
205.054441260745,205.9169054441261,Initial,risa
209.45272206303724,210.73638968481376,Initial,risa
216.1432664756447,217.78796561604585,Initial,risa
222.7679083094556,224.07163323782237,Initial,risa
229.39255014326648,230.9169054441261,Initial,risa
234.9942693409742,235.39541547277935,Initial,risa
240.03438395415472,241.2234957020057,Initial,risa
250.3409742120344,251.0830945558739,Initial,risa
252.8280802292264,253.5501432664757,Initial,risa
258.02865329512895,258.79083094555875,Initial,risa
263.83094555873924,265.87679083094554,Initial,risa
267.6275071633238,268.79083094555875,Initial,risa
281.74498567335246,283.0085959885387,Initial,risa
296.5386819484241,298.02865329512895,Initial,risa
300.84240687679085,303.0085959885387,Initial,risa
308.0888252148997,309.0515759312321,Initial,risa
318.0888252148997,318.34957020057305,Initial,risa
325.55587392550143,326.4383954154728,Initial,risa
329.352435530086,329.9942693409742,Initial,risa
333.06876790830944,333.7707736389685,Initial,risa
336.5386819484241,337.9684813753582,Initial,risa
340.63610315186247,341.75931232091693,Initial,risa
348.8710601719198,349.6131805157593,Initial,risa
354.6131805157593,355.63610315186247,Initial,risa
372.36676217765046,374.0315186246418,Initial,risa
