t0,t1,source,label
46.92550143266476,47.46704871060172,Initial,risa
65.0,65.54154727793696,Initial,risa
95.9971346704871,96.97994269340974,Initial,risa
101.19770773638967,101.59885386819484,Initial,risa
111.98567335243553,113.0487106017192,Initial,risa
125.32091690544412,126.16332378223495,Initial,risa
140.4355300859599,141.97994269340975,Initial,risa
146.64469914040114,147.2464183381089,Initial,risa
149.45272206303724,149.65329512893982,Initial,risa
150.0,151.21776504297995,Initial,risa
216.865329512894,218.14899713467048,Initial,risa
224.27220630372491,224.83381088825212,Initial,risa
226.74498567335243,227.44699140401147,Initial,risa
228.7106017191977,230.94269340974213,Initial,risa
231.2234957020057,231.8051575931232,Initial,risa
275.0601719197708,275.50143266475646,Initial,risa
283.99,284.892,Added,no_risa
289.7736389684813,290.1604584527221,Initial,risa
293.3295128939828,294.27220630372494,Initial,risa
312.7879656160458,314.4727793696275,Initial,risa
315.0,315.6618911174785,Initial,risa
326.85,327.625,Added,no_risa
367.8481375358166,369.6934097421204,Initial,risa
